snack,completion_time_minutes
No snack,55.06
No snack,53.44
No snack,52.78
No snack,47.18
No snack,41.52
No snack,56.21
No snack,45.45
No snack,55.93
No snack,45.31
No snack,39.06
No snack,51.96
No snack,57.38
No snack,48.6
No snack,66.88
No snack,41.65
No snack,51.28
No snack,50.44
No snack,58.4
No snack,37.11
No snack,54.99
No snack,54.48
No snack,56.62
No snack,56.98
No snack,40.73
No snack,58.7
No snack,46.48
No snack,54.92
No snack,50.7
No snack,41.24
No snack,42.06
No snack,59.5
No snack,36.91
No snack,46.85
No snack,43.32
No snack,52.0
No snack,51.83
No snack,52.09
No snack,41.15
No snack,47.61
No snack,48.05
No snack,53.49
No snack,49.6
No snack,60.33
No snack,52.26
No snack,52.74
No snack,66.58
No snack,54.83
No snack,60.16
No snack,51.79
No snack,58.14
No snack,47.21
No snack,50.67
No snack,51.33
No snack,58.98
No snack,50.01
No snack,55.68
No snack,44.95
No snack,58.5
No snack,61.15
No snack,57.88
No snack,55.05
No snack,53.47
No snack,52.43
No snack,69.23
No snack,55.88
No snack,53.26
No snack,45.06
No snack,51.93
No snack,48.25
No snack,57.14
No snack,57.88
No snack,47.08
No snack,49.97
No snack,52.84
No snack,57.03
Trail mix,47.09
Trail mix,61.84
Trail mix,47.15
Trail mix,61.29
Trail mix,43.24
Trail mix,56.46
Trail mix,33.09
Trail mix,48.37
Trail mix,32.44
Trail mix,50.64
Trail mix,49.35
Trail mix,41.8
Trail mix,53.25
Trail mix,40.32
Trail mix,51.39
Trail mix,54.42
Trail mix,51.28
Trail mix,54.31
Trail mix,43.0
Trail mix,42.09
Trail mix,24.19
Trail mix,42.44
Trail mix,38.02
Trail mix,44.83
Trail mix,45.64
Trail mix,47.32
Trail mix,39.74
Trail mix,47.75
Trail mix,38.77
Trail mix,47.26
Trail mix,59.01
Trail mix,34.71
Trail mix,55.05
Trail mix,42.22
Trail mix,70.15
Trail mix,63.79
Trail mix,54.07
Trail mix,53.34
Trail mix,50.37
Trail mix,39.09
Trail mix,53.48
Trail mix,57.93
Trail mix,53.9
Trail mix,52.95
Trail mix,38.51
Trail mix,59.56
Trail mix,80.18
Trail mix,47.34
Trail mix,59.84
Trail mix,34.87
Trail mix,51.87
Trail mix,56.67
Trail mix,30.38
Trail mix,55.33
Trail mix,39.75
Trail mix,42.77
Trail mix,39.02
Trail mix,46.9
Trail mix,51.03
Trail mix,52.9
Trail mix,46.37
Trail mix,46.12
Trail mix,55.71
Trail mix,45.77
Trail mix,43.0
Trail mix,44.14
Trail mix,39.38
Trail mix,35.29
Trail mix,31.69
Trail mix,58.59
Trail mix,60.95
Trail mix,49.43
Trail mix,51.85
Trail mix,60.46
Trail mix,57.19
Energy bar,71.71
Energy bar,46.28
Energy bar,38.29
Energy bar,76.62
Energy bar,78.06
Energy bar,62.89
Energy bar,68.36
Energy bar,34.43
Energy bar,48.46
Energy bar,29.15
Energy bar,48.61
Energy bar,43.85
Energy bar,34.91
Energy bar,69.71
Energy bar,79.56
Energy bar,81.68
Energy bar,34.35
Energy bar,41.25
Energy bar,68.22
Energy bar,40.03
Energy bar,46.81
Energy bar,35.2
Energy bar,65.76
Energy bar,44.1
Energy bar,84.33
Energy bar,28.98
Energy bar,24.39
Energy bar,53.7
Energy bar,96.69
Energy bar,58.65
Energy bar,35.4
Energy bar,78.11
Energy bar,46.63
Energy bar,90.21
Energy bar,45.36
Energy bar,39.55
Energy bar,60.92
Energy bar,54.45
Energy bar,35.18
Energy bar,33.14
Energy bar,36.2
Energy bar,45.14
Energy bar,56.25
Energy bar,30.73
Energy bar,36.51
Energy bar,35.08
Energy bar,37.61
Energy bar,31.28
Energy bar,33.78
Energy bar,58.38
Energy bar,38.84
Energy bar,33.95
Energy bar,101.53
Energy bar,111.67
Energy bar,57.33
Energy bar,39.14
Energy bar,35.19
Energy bar,43.3
Energy bar,49.34
Energy bar,54.84
Energy bar,106.24
Energy bar,58.91
Energy bar,45.51
Energy bar,61.03
Energy bar,56.83
Energy bar,44.33
Energy bar,51.99
Energy bar,42.51
Energy bar,65.68
Energy bar,34.43
Energy bar,25.34
Energy bar,34.68
Energy bar,52.71
Energy bar,42.56
Energy bar,56.87
Gummy worms,64.71
Gummy worms,27.07
Gummy worms,97.63
Gummy worms,51.52
Gummy worms,74.86
Gummy worms,55.91
Gummy worms,10.38
Gummy worms,114.01
Gummy worms,62.1
Gummy worms,40.33
Gummy worms,27.52
Gummy worms,49.87
Gummy worms,30.22
Gummy worms,105.69
Gummy worms,43.63
Gummy worms,111.02
Gummy worms,67.54
Gummy worms,40.65
Gummy worms,25.26
Gummy worms,29.01
Gummy worms,49.82
Gummy worms,22.03
Gummy worms,88.46
Gummy worms,46.54
Gummy worms,34.79
Gummy worms,21.59
Gummy worms,26.76
Gummy worms,38.3
Gummy worms,20.75
Gummy worms,55.64
Gummy worms,68.83
Gummy worms,38.23
Gummy worms,57.27
Gummy worms,16.85
Gummy worms,71.33
Gummy worms,35.52
Gummy worms,73.62
Gummy worms,57.84
Gummy worms,49.53
Gummy worms,22.95
Gummy worms,59.92
Gummy worms,54.06
Gummy worms,51.24
Gummy worms,49.24
Gummy worms,45.94
Gummy worms,62.42
Gummy worms,10.38
Gummy worms,40.49
Gummy worms,43.78
Gummy worms,152.7
Gummy worms,71.09
Gummy worms,44.55
Gummy worms,67.85
Gummy worms,75.36
Gummy worms,101.19
Gummy worms,38.74
Gummy worms,32.02
Gummy worms,59.45
Gummy worms,27.39
Gummy worms,32.19
Gummy worms,71.92
Gummy worms,27.06
Gummy worms,33.93
Gummy worms,46.63
Gummy worms,18.96
Gummy worms,40.69
Gummy worms,26.37
Gummy worms,17.47
Gummy worms,28.86
Gummy worms,38.98
Gummy worms,73.33
Gummy worms,67.58
Gummy worms,36.65
Gummy worms,53.61
Gummy worms,40.2
